id_interaksi,id_mahasiswa,id_konten,waktu_akses,durasi_tonton,feedback,device,status
INT0774,MHS159,KNT120,2025-01-06 22:24:52,19,Bermanfaat,Laptop,Belum Selesai
INT0775,MHS090,KNT133,2024-12-05 12:34:04,39,Sangat Membantu,Laptop,Belum Selesai
INT0776,MHS252,KNT021,2025-01-26 10:19:35,12,Kurang,Tablet,Belum Selesai
INT0777,MHS020,KNT134,2024-12-12 23:46:55,45,Kurang,HP,Selesai
INT0778,MHS047,KNT157,2025-02-20 08:16:13,64,Bermanfaat,Laptop,Selesai
INT0779,MHS029,KNT023,2025-04-21 13:25:28,75,Sangat Membantu,Tablet,Selesai
INT0780,MHS120,KNT063,2025-04-02 18:25:10,57,Bermanfaat,Tablet,Selesai
INT0781,MHS113,KNT121,2025-01-15 00:07:12,13,Sangat Membantu,Laptop,Belum Selesai
INT0782,MHS011,KNT162,2025-01-24 04:23:53,66,Sangat Membantu,Tablet,Belum Selesai
INT0783,MHS270,KNT190,2025-04-02 19:50:58,8,Bermanfaat,HP,Belum Selesai
INT0784,MHS245,KNT170,2025-03-14 20:48:37,57,Kurang,HP,Selesai
INT0785,MHS001,KNT172,2024-12-17 18:55:22,86,Sangat Membantu,Tablet,Belum Selesai
INT0786,MHS170,KNT020,2024-12-04 08:27:02,34,Bermanfaat,Tablet,Selesai
INT0787,MHS104,KNT176,2025-05-14 02:57:02,118,Bermanfaat,HP,Belum Selesai
INT0788,MHS067,KNT163,2024-12-07 15:00:57,7,Bermanfaat,Laptop,Selesai
INT0789,MHS175,KNT139,2024-12-20 01:41:25,39,Kurang,HP,Selesai
INT0790,MHS091,KNT149,2025-03-29 18:57:36,75,Bermanfaat,Tablet,Belum Selesai
INT0791,MHS166,KNT080,2025-03-20 23:17:25,80,Bermanfaat,Tablet,Selesai
INT0792,MHS031,KNT157,2025-04-21 08:39:18,91,Bermanfaat,Tablet,Selesai
INT0793,MHS012,KNT014,2025-03-04 14:45:16,17,Bermanfaat,Tablet,Belum Selesai
INT0794,MHS076,KNT088,2025-01-28 07:10:45,36,Bermanfaat,HP,Belum Selesai
INT0795,MHS073,KNT137,2025-01-15 01:53:15,102,Sangat Membantu,Laptop,Selesai
INT0796,MHS057,KNT200,2025-02-01 14:56:21,76,Kurang,Tablet,Selesai
INT0797,MHS270,KNT003,2025-01-12 01:47:21,88,Bermanfaat,Laptop,Belum Selesai
INT0798,MHS187,KNT121,2025-04-11 04:32:12,105,Bermanfaat,HP,Belum Selesai
INT0799,MHS038,KNT117,2025-04-12 03:50:55,21,Kurang,Laptop,Selesai
INT0800,MHS192,KNT132,2024-12-26 06:40:14,43,Sangat Membantu,HP,Belum Selesai
INT0801,MHS203,KNT121,2025-05-07 14:06:13,77,Bermanfaat,HP,Belum Selesai
INT0802,MHS052,KNT147,2025-02-22 10:53:35,57,Sangat Membantu,Laptop,Belum Selesai
INT0803,MHS173,KNT188,2025-04-15 10:35:20,62,Sangat Membantu,Laptop,Selesai
INT0804,MHS155,KNT085,2025-02-05 15:37:25,15,Sangat Membantu,Tablet,Belum Selesai
INT0805,MHS166,KNT108,2024-12-22 11:29:56,113,Kurang,Tablet,Belum Selesai
INT0806,MHS070,KNT091,2025-02-03 21:30:33,86,Kurang,Tablet,Selesai
INT0807,MHS081,KNT076,2025-01-01 07:50:57,69,Kurang,Laptop,Belum Selesai
INT0808,MHS224,KNT075,2025-05-01 09:43:11,31,Sangat Membantu,HP,Belum Selesai
INT0809,MHS250,KNT043,2025-05-09 03:06:29,105,Kurang,Laptop,Belum Selesai
INT0810,MHS163,KNT010,2024-12-19 07:04:38,23,Kurang,HP,Selesai
INT0811,MHS090,KNT178,2025-04-22 10:40:38,52,Sangat Membantu,Tablet,Belum Selesai
INT0812,MHS288,KNT153,2025-04-12 19:29:48,74,Sangat Membantu,HP,Belum Selesai
INT0813,MHS183,KNT192,2025-03-22 18:12:13,26,Bermanfaat,HP,Belum Selesai
INT0814,MHS115,KNT078,2024-12-30 03:36:09,105,Kurang,Tablet,Belum Selesai
INT0815,MHS090,KNT187,2024-12-03 14:06:59,36,Bermanfaat,HP,Belum Selesai
INT0816,MHS194,KNT145,2024-12-15 21:54:57,73,Bermanfaat,Tablet,Selesai
INT0817,MHS158,KNT067,2025-01-06 19:14:47,59,Bermanfaat,Tablet,Belum Selesai
INT0818,MHS151,KNT016,2024-12-30 23:42:27,76,Sangat Membantu,Laptop,Belum Selesai
INT0819,MHS066,KNT162,2025-01-27 18:59:17,62,Bermanfaat,HP,Belum Selesai
INT0820,MHS091,KNT122,2025-02-16 06:31:10,10,Sangat Membantu,Tablet,Belum Selesai
INT0821,MHS001,KNT149,2025-01-03 09:49:01,5,Bermanfaat,Laptop,Selesai
INT0822,MHS294,KNT044,2025-01-12 14:41:56,109,Sangat Membantu,Tablet,Belum Selesai
INT0823,MHS201,KNT147,2024-12-19 08:23:53,64,Bermanfaat,HP,Selesai
INT0824,MHS291,KNT014,2024-11-21 17:38:34,111,Bermanfaat,Laptop,Belum Selesai
INT0825,MHS017,KNT169,2025-01-30 11:54:50,84,Kurang,Laptop,Belum Selesai
INT0826,MHS094,KNT075,2025-02-04 15:24:36,42,Kurang,HP,Belum Selesai
INT0827,MHS163,KNT189,2024-12-17 14:52:10,88,Sangat Membantu,HP,Belum Selesai
INT0828,MHS114,KNT160,2025-05-12 11:56:36,26,Kurang,HP,Selesai
INT0829,MHS290,KNT007,2025-01-21 02:26:42,5,Sangat Membantu,HP,Selesai
INT0830,MHS054,KNT074,2025-05-03 08:43:01,12,Sangat Membantu,Tablet,Belum Selesai
INT0831,MHS255,KNT125,2025-02-12 14:31:15,66,Kurang,Laptop,Selesai
INT0832,MHS073,KNT022,2025-02-27 13:32:45,39,Sangat Membantu,Laptop,Belum Selesai
INT0833,MHS170,KNT033,2024-12-10 15:11:03,81,Sangat Membantu,HP,Selesai
INT0834,MHS040,KNT130,2024-11-20 23:57:10,37,Kurang,HP,Selesai
INT0835,MHS122,KNT020,2025-04-25 02:22:48,112,Sangat Membantu,Laptop,Selesai
INT0836,MHS178,KNT072,2025-02-17 18:15:13,92,Bermanfaat,HP,Belum Selesai
INT0837,MHS164,KNT065,2024-12-07 04:15:36,53,Kurang,Tablet,Selesai
INT0838,MHS086,KNT034,2025-02-01 00:39:25,49,Bermanfaat,Laptop,Belum Selesai
INT0839,MHS046,KNT158,2025-05-17 16:02:47,112,Kurang,Laptop,Selesai
INT0840,MHS172,KNT072,2025-02-23 11:01:20,85,Bermanfaat,HP,Selesai
INT0841,MHS229,KNT071,2025-05-12 04:56:18,32,Sangat Membantu,Tablet,Selesai
INT0842,MHS006,KNT066,2024-12-14 20:15:59,79,Kurang,HP,Selesai
INT0843,MHS136,KNT004,2025-04-01 23:57:29,112,Bermanfaat,Tablet,Belum Selesai
INT0844,MHS108,KNT190,2025-05-17 21:16:42,70,Sangat Membantu,Tablet,Selesai
INT0845,MHS128,KNT029,2025-03-29 04:08:04,41,Bermanfaat,Tablet,Selesai
INT0846,MHS035,KNT155,2025-01-10 09:05:36,10,Kurang,HP,Belum Selesai
INT0847,MHS180,KNT045,2025-04-26 19:44:23,25,Sangat Membantu,Tablet,Belum Selesai
INT0848,MHS132,KNT152,2024-11-21 08:43:58,99,Bermanfaat,HP,Selesai
INT0849,MHS056,KNT190,2025-04-23 00:18:24,73,Bermanfaat,HP,Belum Selesai
INT0850,MHS001,KNT039,2024-12-19 13:02:02,77,Kurang,Laptop,Belum Selesai
INT0851,MHS025,KNT169,2025-02-27 23:47:40,13,Bermanfaat,HP,Belum Selesai
INT0852,MHS198,KNT115,2025-04-19 02:45:51,43,Sangat Membantu,Tablet,Belum Selesai
INT0853,MHS225,KNT095,2025-01-20 03:49:19,16,Sangat Membantu,HP,Selesai
INT0854,MHS215,KNT045,2025-01-30 13:50:07,55,Sangat Membantu,Tablet,Belum Selesai
INT0855,MHS086,KNT067,2025-04-28 07:11:58,94,Bermanfaat,HP,Belum Selesai
INT0856,MHS212,KNT180,2025-01-03 10:11:06,20,Sangat Membantu,HP,Selesai
INT0857,MHS253,KNT061,2025-02-01 11:53:03,111,Kurang,Tablet,Selesai
INT0858,MHS194,KNT125,2025-02-26 02:34:37,22,Kurang,HP,Belum Selesai
INT0859,MHS180,KNT047,2025-01-22 23:53:19,97,Kurang,HP,Selesai
INT0860,MHS280,KNT136,2025-04-28 08:15:47,76,Sangat Membantu,Laptop,Selesai
INT0861,MHS193,KNT009,2025-04-03 02:54:35,40,Sangat Membantu,Laptop,Selesai
INT0862,MHS052,KNT088,2025-01-17 12:58:11,117,Kurang,Tablet,Selesai
INT0863,MHS246,KNT022,2025-04-15 04:00:37,60,Kurang,Laptop,Belum Selesai
INT0864,MHS296,KNT038,2025-03-29 12:25:08,31,Bermanfaat,HP,Selesai
INT0865,MHS116,KNT153,2025-05-19 00:16:02,83,Bermanfaat,HP,Selesai
INT0866,MHS084,KNT040,2025-02-16 16:42:39,69,Kurang,HP,Belum Selesai
INT0867,MHS232,KNT127,2025-04-20 16:39:34,107,Sangat Membantu,Tablet,Selesai
INT0868,MHS038,KNT193,2025-04-01 19:09:38,45,Kurang,HP,Belum Selesai
INT0869,MHS018,KNT106,2025-04-14 11:12:17,118,Bermanfaat,Tablet,Belum Selesai
INT0870,MHS151,KNT198,2025-03-02 02:16:04,92,Kurang,Laptop,Selesai
INT0871,MHS011,KNT099,2025-01-22 02:04:35,48,Bermanfaat,Laptop,Selesai
INT0872,MHS164,KNT061,2025-05-15 16:55:58,86,Bermanfaat,Tablet,Selesai
INT0873,MHS134,KNT170,2025-03-16 19:20:25,38,Bermanfaat,Laptop,Selesai
INT0874,MHS054,KNT113,2025-02-11 20:39:08,101,Kurang,HP,Selesai
INT0875,MHS038,KNT186,2025-01-21 16:38:29,95,Sangat Membantu,Tablet,Selesai
INT0876,MHS176,KNT164,2025-03-29 06:29:16,62,Kurang,Tablet,Belum Selesai
INT0877,MHS088,KNT043,2025-01-23 10:48:42,39,Bermanfaat,Tablet,Selesai
INT0878,MHS193,KNT054,2025-01-29 13:30:00,36,Bermanfaat,Laptop,Selesai
INT0879,MHS083,KNT148,2025-03-03 12:59:01,89,Kurang,Tablet,Selesai
INT0880,MHS039,KNT188,2025-04-10 14:37:08,46,Bermanfaat,Laptop,Selesai
INT0881,MHS281,KNT089,2025-05-19 05:15:38,48,Sangat Membantu,Laptop,Selesai
INT0882,MHS048,KNT014,2025-05-10 02:11:25,31,Bermanfaat,Tablet,Belum Selesai
INT0883,MHS174,KNT165,2025-05-15 10:31:05,63,Bermanfaat,HP,Belum Selesai
INT0884,MHS248,KNT068,2024-11-19 01:56:21,81,Bermanfaat,Laptop,Selesai
INT0885,MHS016,KNT194,2025-02-01 05:16:40,47,Sangat Membantu,Laptop,Belum Selesai
INT0886,MHS221,KNT030,2025-02-24 16:21:28,7,Bermanfaat,HP,Belum Selesai
INT0887,MHS085,KNT014,2024-12-20 09:05:39,93,Kurang,Laptop,Belum Selesai
INT0888,MHS223,KNT043,2024-12-01 22:31:31,22,Bermanfaat,HP,Selesai
INT0889,MHS081,KNT119,2024-12-15 23:54:18,87,Sangat Membantu,HP,Belum Selesai
INT0890,MHS028,KNT103,2025-05-03 10:58:15,5,Bermanfaat,HP,Belum Selesai
INT0891,MHS052,KNT122,2024-11-28 15:47:04,82,Sangat Membantu,Laptop,Belum Selesai
INT0892,MHS170,KNT078,2025-01-01 21:49:49,65,Bermanfaat,HP,Belum Selesai
INT0893,MHS106,KNT122,2025-05-01 09:35:20,5,Bermanfaat,Laptop,Selesai
INT0894,MHS098,KNT192,2025-03-17 04:35:03,120,Kurang,Tablet,Belum Selesai
INT0895,MHS210,KNT193,2024-12-11 11:34:33,6,Bermanfaat,Laptop,Belum Selesai
INT0896,MHS284,KNT137,2025-04-25 07:49:42,91,Sangat Membantu,Laptop,Belum Selesai
INT0897,MHS277,KNT060,2025-03-28 22:47:54,27,Sangat Membantu,Laptop,Selesai
INT0898,MHS136,KNT098,2025-04-05 20:30:38,57,Bermanfaat,HP,Belum Selesai
INT0899,MHS145,KNT175,2025-04-22 13:55:08,76,Sangat Membantu,HP,Selesai
INT0900,MHS153,KNT181,2025-03-18 00:28:21,119,Kurang,Laptop,Belum Selesai
INT0901,MHS122,KNT100,2024-11-20 23:44:38,94,Bermanfaat,Laptop,Belum Selesai
INT0902,MHS050,KNT122,2025-04-01 08:22:03,95,Bermanfaat,Laptop,Belum Selesai
INT0903,MHS026,KNT068,2025-02-26 04:38:17,67,Kurang,Laptop,Selesai
INT0904,MHS202,KNT038,2024-12-13 07:13:13,102,Bermanfaat,HP,Belum Selesai
INT0905,MHS293,KNT136,2025-05-06 11:50:54,55,Kurang,Laptop,Belum Selesai
INT0906,MHS282,KNT112,2025-05-07 17:19:22,73,Bermanfaat,Tablet,Belum Selesai
INT0907,MHS252,KNT004,2024-11-19 21:59:01,15,Kurang,Laptop,Selesai
INT0908,MHS079,KNT074,2024-12-24 16:31:22,105,Kurang,Laptop,Belum Selesai
INT0909,MHS028,KNT115,2025-04-19 22:58:33,117,Kurang,Tablet,Belum Selesai
INT0910,MHS185,KNT098,2024-12-17 06:01:33,88,Sangat Membantu,Tablet,Belum Selesai
INT0911,MHS002,KNT174,2024-11-21 05:11:17,88,Bermanfaat,HP,Selesai
INT0912,MHS219,KNT081,2025-04-22 09:11:08,14,Kurang,Laptop,Belum Selesai
INT0913,MHS045,KNT136,2025-04-13 08:29:45,73,Kurang,HP,Selesai
INT0914,MHS151,KNT175,2025-01-31 08:08:32,8,Sangat Membantu,Laptop,Belum Selesai
INT0915,MHS246,KNT011,2025-03-08 06:20:34,119,Kurang,HP,Selesai
INT0916,MHS103,KNT025,2025-02-22 15:58:02,111,Bermanfaat,Laptop,Belum Selesai
INT0917,MHS050,KNT137,2024-12-08 23:31:12,109,Sangat Membantu,HP,Belum Selesai
INT0918,MHS014,KNT164,2025-05-03 02:00:38,90,Sangat Membantu,Tablet,Selesai
INT0919,MHS106,KNT091,2025-02-05 16:07:25,61,Bermanfaat,Tablet,Selesai
INT0920,MHS088,KNT111,2025-01-16 02:30:42,91,Kurang,HP,Selesai
INT0921,MHS150,KNT157,2025-04-27 02:13:25,20,Kurang,Tablet,Selesai
INT0922,MHS042,KNT167,2025-03-18 08:52:35,50,Sangat Membantu,Laptop,Belum Selesai
INT0923,MHS243,KNT070,2024-12-13 05:11:15,109,Sangat Membantu,HP,Belum Selesai
INT0924,MHS060,KNT086,2025-02-24 21:38:20,53,Bermanfaat,Tablet,Belum Selesai
INT0925,MHS158,KNT070,2025-05-11 05:20:26,110,Sangat Membantu,HP,Selesai
INT0926,MHS204,KNT069,2024-11-25 11:44:33,81,Bermanfaat,HP,Belum Selesai
INT0927,MHS242,KNT026,2024-12-11 21:32:13,50,Bermanfaat,Tablet,Selesai
INT0928,MHS251,KNT066,2025-04-28 07:52:25,54,Sangat Membantu,Laptop,Belum Selesai
INT0929,MHS136,KNT168,2025-01-22 02:30:14,27,Kurang,Laptop,Belum Selesai
INT0930,MHS047,KNT150,2025-03-16 13:08:25,112,Kurang,HP,Belum Selesai
INT0931,MHS279,KNT101,2025-04-17 02:38:07,103,Sangat Membantu,Laptop,Selesai
INT0932,MHS199,KNT119,2025-05-19 04:38:24,108,Bermanfaat,HP,Belum Selesai
INT0933,MHS095,KNT198,2025-01-13 05:16:37,94,Kurang,Laptop,Selesai
INT0934,MHS190,KNT173,2025-03-24 12:18:54,6,Bermanfaat,HP,Selesai
INT0935,MHS196,KNT192,2025-02-09 11:05:55,20,Bermanfaat,HP,Selesai
INT0936,MHS190,KNT062,2025-05-16 03:47:04,64,Sangat Membantu,HP,Selesai
INT0937,MHS096,KNT188,2024-11-29 04:24:04,52,Kurang,Tablet,Belum Selesai
INT0938,MHS229,KNT173,2025-04-17 04:40:29,29,Bermanfaat,Tablet,Selesai
INT0939,MHS023,KNT151,2025-02-11 07:31:46,61,Sangat Membantu,HP,Selesai
INT0940,MHS135,KNT198,2024-12-22 05:35:03,6,Bermanfaat,Tablet,Belum Selesai
INT0941,MHS226,KNT050,2025-02-26 05:21:59,33,Sangat Membantu,HP,Belum Selesai
INT0942,MHS239,KNT134,2025-05-20 12:08:22,100,Bermanfaat,Tablet,Belum Selesai
INT0943,MHS135,KNT087,2025-01-31 03:03:06,7,Bermanfaat,Laptop,Selesai
INT0944,MHS116,KNT174,2025-03-06 05:54:23,102,Sangat Membantu,HP,Belum Selesai
INT0945,MHS138,KNT177,2024-11-23 09:18:25,40,Sangat Membantu,HP,Selesai
INT0946,MHS289,KNT047,2025-03-27 14:44:26,92,Bermanfaat,Tablet,Belum Selesai
INT0947,MHS032,KNT081,2025-01-16 02:40:07,95,Sangat Membantu,Tablet,Selesai
INT0948,MHS078,KNT141,2025-02-02 17:37:35,50,Bermanfaat,Tablet,Belum Selesai
INT0949,MHS050,KNT003,2025-05-06 04:35:56,29,Sangat Membantu,Laptop,Belum Selesai
INT0950,MHS044,KNT173,2024-11-23 13:30:45,16,Sangat Membantu,Laptop,Selesai
INT0951,MHS177,KNT003,2025-03-13 07:48:31,109,Sangat Membantu,Tablet,Selesai
INT0952,MHS278,KNT018,2025-04-22 02:45:26,83,Sangat Membantu,Laptop,Belum Selesai
INT0953,MHS212,KNT004,2025-01-08 00:52:32,85,Sangat Membantu,Laptop,Belum Selesai
INT0954,MHS117,KNT106,2024-11-24 03:27:48,43,Sangat Membantu,HP,Belum Selesai
INT0955,MHS284,KNT026,2025-02-27 07:30:11,108,Kurang,HP,Selesai
INT0956,MHS032,KNT135,2024-12-07 22:11:07,96,Kurang,HP,Selesai
INT0957,MHS199,KNT027,2024-11-30 04:54:17,33,Bermanfaat,Tablet,Selesai
INT0958,MHS268,KNT176,2024-11-23 21:27:22,34,Kurang,Laptop,Selesai
INT0959,MHS215,KNT115,2025-03-18 16:48:27,68,Kurang,Tablet,Belum Selesai
INT0960,MHS275,KNT090,2025-04-11 08:48:04,51,Kurang,Tablet,Belum Selesai
INT0961,MHS244,KNT057,2025-03-14 23:55:22,9,Sangat Membantu,HP,Selesai
INT0962,MHS294,KNT186,2025-03-30 18:27:04,40,Kurang,Laptop,Selesai
INT0963,MHS121,KNT073,2024-12-14 23:43:48,68,Bermanfaat,Tablet,Belum Selesai
INT0964,MHS244,KNT065,2024-11-21 02:02:53,120,Sangat Membantu,Laptop,Selesai
INT0965,MHS154,KNT050,2025-02-16 12:02:04,95,Sangat Membantu,Laptop,Belum Selesai
INT0966,MHS041,KNT009,2024-12-02 21:09:16,95,Kurang,HP,Selesai
INT0967,MHS203,KNT007,2024-11-26 01:19:21,82,Bermanfaat,Laptop,Belum Selesai
INT0968,MHS018,KNT159,2025-05-06 00:25:47,31,Bermanfaat,Laptop,Selesai
INT0969,MHS258,KNT024,2025-01-22 05:08:59,5,Sangat Membantu,Laptop,Selesai
INT0970,MHS293,KNT015,2025-01-04 17:33:12,30,Sangat Membantu,HP,Belum Selesai
INT0971,MHS265,KNT153,2025-02-19 05:23:01,110,Bermanfaat,HP,Belum Selesai
INT0972,MHS293,KNT169,2024-12-01 23:27:24,86,Bermanfaat,Laptop,Selesai
INT0973,MHS076,KNT056,2025-03-14 03:54:31,55,Sangat Membantu,HP,Belum Selesai
INT0974,MHS062,KNT154,2025-01-07 10:16:02,19,Sangat Membantu,HP,Selesai
INT0975,MHS230,KNT164,2025-03-19 15:17:21,116,Kurang,Tablet,Selesai
INT0976,MHS089,KNT032,2025-04-30 06:18:57,40,Bermanfaat,Laptop,Selesai
INT0977,MHS086,KNT182,2025-05-13 10:54:15,77,Bermanfaat,HP,Selesai
INT0978,MHS109,KNT031,2025-02-03 07:08:13,69,Bermanfaat,Laptop,Selesai
INT0979,MHS099,KNT023,2025-03-14 15:01:25,68,Kurang,HP,Selesai
INT0980,MHS065,KNT155,2025-04-06 17:48:41,26,Sangat Membantu,HP,Belum Selesai
INT0981,MHS022,KNT034,2025-04-05 19:17:29,75,Bermanfaat,HP,Belum Selesai
INT0982,MHS217,KNT097,2025-04-26 19:59:04,29,Kurang,Tablet,Belum Selesai
INT0983,MHS041,KNT169,2024-12-24 00:57:45,89,Bermanfaat,HP,Belum Selesai
INT0984,MHS223,KNT196,2025-04-11 05:23:40,99,Kurang,Laptop,Selesai
INT0985,MHS104,KNT166,2025-03-19 02:49:43,77,Kurang,HP,Belum Selesai
INT0986,MHS076,KNT145,2025-05-08 12:06:05,91,Bermanfaat,HP,Selesai
INT0987,MHS133,KNT048,2024-12-17 18:41:43,92,Kurang,Laptop,Belum Selesai
INT0988,MHS164,KNT029,2024-12-19 01:00:45,82,Bermanfaat,Laptop,Belum Selesai
INT0989,MHS035,KNT179,2024-11-21 05:01:03,77,Bermanfaat,HP,Selesai
INT0990,MHS045,KNT048,2025-04-11 20:03:53,27,Kurang,Tablet,Belum Selesai
INT0991,MHS199,KNT065,2024-11-29 18:30:47,13,Sangat Membantu,Tablet,Belum Selesai
INT0992,MHS285,KNT076,2025-05-15 10:54:26,80,Kurang,Laptop,Belum Selesai
INT0993,MHS204,KNT120,2025-01-29 12:11:06,21,Kurang,HP,Selesai
INT0994,MHS283,KNT170,2025-04-19 13:12:46,100,Bermanfaat,Laptop,Selesai
INT0995,MHS167,KNT020,2025-05-16 11:17:20,13,Bermanfaat,HP,Selesai
INT0996,MHS142,KNT164,2025-04-15 07:12:18,21,Bermanfaat,Tablet,Belum Selesai
INT0997,MHS267,KNT117,2025-01-01 22:25:05,38,Sangat Membantu,Tablet,Belum Selesai
INT0998,MHS235,KNT071,2025-05-18 00:09:56,77,Kurang,Laptop,Belum Selesai
INT0999,MHS007,KNT197,2024-11-21 02:41:47,114,Kurang,Tablet,Belum Selesai
INT1000,MHS268,KNT110,2025-05-14 10:45:31,34,Kurang,HP,Selesai
INT1001,MHS215,KNT178,2024-12-17 21:11:26,117,Kurang,Laptop,Selesai
INT1002,MHS058,KNT171,2025-05-15 16:18:36,71,Kurang,Laptop,Selesai
INT1003,MHS213,KNT198,2025-01-01 06:46:07,98,Sangat Membantu,HP,Selesai
INT1004,MHS077,KNT198,2025-01-29 00:58:09,105,Bermanfaat,Laptop,Selesai
INT1005,MHS076,KNT083,2025-02-03 21:27:35,40,Bermanfaat,Tablet,Selesai
INT1006,MHS291,KNT066,2025-05-03 20:32:18,29,Sangat Membantu,Tablet,Selesai
INT1007,MHS299,KNT042,2025-04-28 11:58:17,113,Kurang,HP,Selesai
INT1008,MHS052,KNT200,2025-03-14 19:54:04,91,Bermanfaat,Tablet,Belum Selesai
INT1009,MHS055,KNT019,2025-05-02 22:04:45,7,Kurang,HP,Belum Selesai
INT1010,MHS289,KNT071,2025-01-31 15:37:04,93,Kurang,Laptop,Belum Selesai
INT1011,MHS052,KNT199,2025-01-07 21:55:27,91,Kurang,HP,Belum Selesai
INT1012,MHS147,KNT016,2025-05-17 23:22:15,73,Kurang,Tablet,Selesai
INT1013,MHS275,KNT098,2025-03-23 22:40:25,83,Sangat Membantu,Tablet,Selesai
INT1014,MHS177,KNT100,2025-02-25 22:50:44,37,Sangat Membantu,HP,Belum Selesai
INT1015,MHS211,KNT086,2025-01-12 02:47:18,92,Bermanfaat,HP,Selesai
INT1016,MHS136,KNT016,2025-03-30 14:40:06,76,Kurang,Laptop,Selesai
INT1017,MHS197,KNT067,2024-12-20 16:31:51,118,Kurang,HP,Selesai
INT1018,MHS249,KNT068,2025-01-12 21:06:40,63,Sangat Membantu,HP,Selesai
INT1019,MHS293,KNT046,2025-05-12 16:16:45,5,Sangat Membantu,HP,Selesai
INT1020,MHS243,KNT113,2025-02-12 07:51:17,59,Kurang,Tablet,Belum Selesai
INT1021,MHS020,KNT018,2024-12-31 02:40:28,87,Kurang,Tablet,Selesai
INT1022,MHS089,KNT126,2025-04-12 02:02:51,91,Bermanfaat,Laptop,Belum Selesai
INT1023,MHS142,KNT052,2025-02-08 08:40:10,88,Sangat Membantu,Tablet,Selesai
INT1024,MHS207,KNT157,2025-04-10 07:23:20,11,Kurang,HP,Belum Selesai
INT1025,MHS074,KNT101,2025-02-26 00:22:28,114,Sangat Membantu,Tablet,Selesai
INT1026,MHS206,KNT046,2024-12-24 08:27:23,46,Kurang,HP,Selesai
INT1027,MHS020,KNT166,2024-11-26 20:23:15,60,Kurang,HP,Selesai
INT1028,MHS203,KNT126,2025-05-19 13:03:20,113,Sangat Membantu,Tablet,Belum Selesai
INT1029,MHS170,KNT028,2025-02-04 08:32:01,57,Bermanfaat,HP,Selesai
INT1030,MHS122,KNT037,2025-03-27 02:19:24,40,Sangat Membantu,Tablet,Belum Selesai
INT1031,MHS026,KNT139,2025-04-30 13:26:25,20,Sangat Membantu,HP,Selesai
INT1032,MHS244,KNT197,2025-04-03 02:30:41,92,Bermanfaat,Laptop,Belum Selesai
INT1033,MHS138,KNT111,2025-01-10 05:57:04,71,Sangat Membantu,Laptop,Selesai
INT1034,MHS191,KNT056,2025-03-24 14:03:25,64,Bermanfaat,HP,Belum Selesai
INT1035,MHS011,KNT158,2025-01-19 02:36:13,68,Sangat Membantu,Tablet,Selesai
INT1036,MHS173,KNT165,2025-01-07 11:03:49,51,Sangat Membantu,HP,Selesai
INT1037,MHS156,KNT028,2024-11-24 16:13:42,71,Bermanfaat,Tablet,Belum Selesai
INT1038,MHS160,KNT114,2025-02-19 11:22:43,102,Bermanfaat,Laptop,Belum Selesai
INT1039,MHS144,KNT184,2025-03-12 21:14:45,10,Bermanfaat,Laptop,Belum Selesai
INT1040,MHS252,KNT067,2025-04-26 04:26:21,118,Kurang,Laptop,Selesai
INT1041,MHS051,KNT027,2025-04-26 00:32:44,97,Kurang,HP,Selesai
INT1042,MHS117,KNT009,2024-11-25 17:19:51,33,Bermanfaat,Tablet,Selesai
INT1043,MHS069,KNT019,2025-04-27 06:40:47,11,Sangat Membantu,Tablet,Belum Selesai
INT1044,MHS154,KNT019,2024-12-31 23:32:30,40,Kurang,HP,Selesai
INT1045,MHS227,KNT147,2025-02-22 07:41:19,58,Bermanfaat,Laptop,Selesai
INT1046,MHS165,KNT187,2025-01-25 19:17:05,73,Bermanfaat,Tablet,Selesai
INT1047,MHS138,KNT065,2024-12-15 10:57:22,62,Kurang,Tablet,Selesai
INT1048,MHS214,KNT199,2025-02-11 16:43:51,45,Kurang,Tablet,Selesai
INT1049,MHS046,KNT115,2025-01-05 11:09:09,5,Sangat Membantu,HP,Belum Selesai
INT1050,MHS097,KNT005,2024-12-09 23:32:36,55,Bermanfaat,HP,Selesai
INT1051,MHS227,KNT128,2025-01-17 21:40:41,29,Kurang,Laptop,Selesai
INT1052,MHS109,KNT039,2025-01-18 13:35:41,47,Kurang,HP,Selesai
INT1053,MHS209,KNT168,2025-02-21 00:57:32,15,Kurang,HP,Belum Selesai
INT1054,MHS249,KNT164,2025-03-04 02:30:59,117,Sangat Membantu,Laptop,Belum Selesai
INT1055,MHS265,KNT001,2025-03-14 13:54:29,78,Sangat Membantu,Laptop,Selesai
INT1056,MHS192,KNT010,2025-02-08 15:23:34,108,Kurang,HP,Belum Selesai
INT1057,MHS029,KNT171,2024-12-02 12:39:17,8,Bermanfaat,HP,Belum Selesai
INT1058,MHS264,KNT100,2025-01-07 21:32:01,99,Bermanfaat,HP,Selesai
INT1059,MHS082,KNT069,2025-05-19 19:21:58,33,Bermanfaat,Laptop,Belum Selesai
INT1060,MHS034,KNT039,2024-12-08 03:36:41,93,Sangat Membantu,Tablet,Selesai
INT1061,MHS160,KNT180,2024-12-10 05:34:27,59,Bermanfaat,Tablet,Belum Selesai
INT1062,MHS260,KNT085,2024-11-19 19:30:21,14,Kurang,HP,Belum Selesai
INT1063,MHS207,KNT101,2024-11-19 19:06:55,36,Kurang,HP,Selesai
